;MAIN BOARD;;;;;;;;
ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;
1;100nF;C2,C6,C8;C0805;3;GRM21BR71H104KA01L;MuRata;LCSC;C77082;
2;10uF;C3;C0805;1;0805X106K250NT;FH;LCSC;C40894;
3;22uF;C7;C0805;1;CL21A226MAYNNNE;Samsung Electro-Mechanics;LCSC;C602037;
4;SS34_C8678;D2;DO-214AC_L4.3-W2.7-LS5.3-RD;1;SS34;MDD;LCSC;C8678;
5;FH-00538;H2;HDR-SMD_12P-P2.54-V-F-R2-C6-S7.0-EH;1;FH-00538;Liansheng(??);LCSC;C2685123;
6;150?;R3,R18;R0805;2;0805W8J0151T5E;UniOhm;LCSC;C25283;
7;10k?;R4,R5,R6,R7,R8,R9,R10,R11,R12,R19;R0805;10;RTT05103JTP;RALEC;LCSC;C103914;
8;100k?;R13,R14,R15;R0805;3;RTT05104JTP;RALEC;LCSC;C103915;
9;5.1k?;R16;R0805;1;0805W8J0512T5E;UniOhm;LCSC;C26023;
10;ESP32-WROOM-32E(4MB);U5;WIFI-SMD_ESP32-WROOM-32E;1;ESP32-WROOM-32E(4MB);Espressif Systems;LCSC;C701341;
11;DSHP03TS-S;SW1;SW-SMD_DSHP03TS-S;1;DSHP03TS-S;XKB Enterprise;LCSC;C319051;
12;GT-TC029B-H025-L1N;BOOT,RST;SW-SMD_L3.9-W2.9-P4.15-LS5.0;2;GT-TC029B-H025-L1N;G-Switch;LCSC;C843669;
13;19-217/G7C-AN1P2/3T;LED1;LED0603-R-RD;1;19-217/G7C-AN1P2/3T;EVERLIGHT;LCSC;C72042;
14;PT4115;U1;SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR;1;PT4115;UMW(???????);LCSC;C347356;
15;LR1117DS33X;U2;SOT-223_L6.3-W3.5-P2.30-LS7.0-BR-1;1;LR1117DS33X;Leshan Radio;LCSC;C383259;
16;100uF;C1;SMD,D6.3xL7.7mm;1;RVT1H101M0607;ROQANG(??);LCSC;C3151829;
17;10uF;C4,C5;CAP-SMD_L3.5-W2.8-R-RD;2;TAJB106M025RNJ;AVX;LCSC;C8018;
18;TF-013;CARD1;TF-SMD_TF-013;1;TF-013;????;LCSC;C961683;
19;WAFER-254L-4P;CN2,CN4;CONN-SMD_WAFER-254L-4P;2;WAFER-254L-4P;XUNPU(??);LCSC;C2856686;
20;SS14_C211769;D1;SMA_L4.4-W2.8-LS5.4-RD;1;SS14;Yangzhou Yangjie Elec Tech;LCSC;C211769;
21;THD0515-45CL-SN;FPC1;FFC-SMD_45P-P0.50_THD0515-45CL-SN;1;THD0515-45CL-SN;THD;LCSC;C283158;
22;47uH;L1;IND-SMD_L5.0-W5.0_NR5040T;1;SNR5040TYD470M;SOREDE(???);LCSC;C2827400;
23;D882;Q1;SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR;1;D882;Hottech;LCSC;C181187;
24;160m?;R1;R2010 (1%);1;RTT20R160FTE;RALEC;LCSC;C333477;
25;180m?;R2;R2010 (1%);1;FRL2010FR180TS;FOJAN;LCSC;C2934352;
26;30?;R17;R2010;1;RTT2030R0FTE;RALEC;LCSC;C458673;
27;SMD1206B075TF/16;U8;R1206;1;SMD1206B075TF/16;Brightking Elec (TAIWAN);LCSC;C269118;
28;GT-TC041B-H036-L1N COPY;SP;G-SWITCH GT-TC041B-H036-L1N;1;GT-TC041B-H036-L1N;G-Switch(??);LCSC;C2686893;
29;2171-104MS0CUNR1;U3;CONN-SMD_2171-104MS0CUNR1;1;2171-104MS0CUNR1;Wcon(????);LCSC;C920937;
